Project,Grantee,"Category 
(as determined by ZCG)","Reporting Frequency 
(as determined by ZCG)",Milestone,Amount (USD),Estimate,Paid Out,ZEC Disbursed,USD Disbursed,ZEC/USD,Grant Status
Moeda.casa - Smart Brazilian Fiat-to-Crypto over Zcash,Moeda.casa,Integration,NA,1,"$6,950.00",, 26 Jan 2021,80.7764831,,$86.04,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,NA,1,"$10,440.00",, 10 Feb 2021,96.9180354,,$107.72,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,,2,"$10,440.00",, 2 Mar 2021,86.4239411,,$120.80,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,,3,"$13,920.00",, 21 Dec 2021,87.8401697,,$158.47,Completed
Zecwallet Infra costs,ZecWallet,Infrastructure,NA,1,"$9,750.00",, 16 Feb 2021,58.0461797,,$167.97,Completed
Zecwallet Infra costs,ZecWallet,Infrastructure,,2,"$9,750.00",, 24 Feb 2021,76.4946865,,$127.46,Completed
ZcashZeal,ZcashZeal,Community,NA,1,"$2,754.00",, 22 Feb 2021,15.3230845,,$179.73,Cancelled
ZcashZeal,ZcashZeal,Community,,2,$0.00,,,,,,Cancelled
ZcashZeal,ZcashZeal,Community,,3,$0.00,,,,,,Cancelled
ZcashZeal,ZcashZeal,Community,,4,$0.00,,,,,,Cancelled
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,NA,1,"$17,360.00",, 4 Mar 2021,135.46635,,$128.15,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,2,"$40,920.00",, 7 Jun 2021,240.25375,,$170.32,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,3,"$40,920.00",, 27 Jul 2021,395.706511,,$103.41,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,4,"$24,800.00",, 8 Oct 2021,197.342446,,$125.67,Completed
Educational Video Series in Hindi for Indian Market,Hindi Videos,Education,NA,1,"$2,500.00",, 10 Mar 2021,18.2789623,,$136.77,Completed
Educational Video Series in Hindi for Indian Market,Hindi Videos,Education,,2,"$2,500.00",, 25 Jun 2021,23.6362917,,$105.77,Completed
1 year of ZECpages servers,ZecPages,Non-Wallet Applications,NA,1,"$3,300.00",, 11 Mar 2021,24.3777317,,$135.37,Completed
1 year of ZECpages servers,ZecPages,Non-Wallet Applications,,2,"$3,300.00",, 4 Oct 2021,28.3969677,,$116.21,Completed
Bootstrapping liquidity for renZEC on Binance Smart Chain,RenZec,Integration,NA,1,"$7,500.00",, 20 Apr 2021,29.3369942,,$255.65,Completed
Cold Wallet,Hanh,Wallets,NA,1,"$1,584.00",, 23 Mar 2021,11.2102911,,$141.30,Completed
Cold Wallet,Hanh,Wallets,,2,"$1,584.00",, 30 Mar 2021,10.5692599,,$149.87,Completed
Cold Wallet,Hanh,Wallets,,3,"$1,632.00",, 1 Apr 2021,10.244278,,$159.31,Completed
Zcash Block Explorer,NightHawk,Infrastructure,NA,1,"$51,000.00",, 30 Mar 2021,340.295122,,$149.87,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,NA,1,"$3,627.00",, 12 Apr 2021,18.8103894,,$192.82,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,,2,$558.00,, 23 Apr 2021,2.67828575,,$208.34,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,,3,"$1,395.00",, 1 Nov 2021,8.34789487,,$167.11,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,NA,1,"$85,500.00",, 20 Apr 2021,344.441819,,$248.23,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,2,"$85,500.00",, 18 Jun 2021,600.843489,,$142.30,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,3,"$85,500.00",, 16 Aug 2021,552.397151,,$154.78,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,4,"$85,500.00",, 18 Oct 2021,624.726197,,$136.86,Completed
Zeme Team,Zeme Team,Community,NA,1,"$5,500.00",, 30 Apr 2021,23.2676299,,$236.38,Completed
Zeme Team,Zeme Team,Community,,2,"$16,500.00",, 26 May 2021,115.231711,,$143.19,Completed
Zeme Team,Zeme Team,Community,,3,"$5,500.00",, 11 Jun 2021,40.6505065,,$135.30,Completed
Zeme Team,Zeme Team,Community,,4,"$16,500.00",, 13 Jul 2021,151.418021,,$108.97,Completed
Zeme Team,Zeme Team,Community,,5,"$11,000.00",, 29 Jul 2021,103.267192,,$106.52,Completed
Zeme Team- returned funds intended for tip creators,Zeme Team,Community,,5a,"-$4,000.00",, 14 Sep 2021,-30.26,,$132.19,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,NA,1,"$140,492.00",, 3 May 2021,584.89602,,$240.20,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,,2,"$105,369.00",, 19 Jul 2021,1135.44201,,$92.80,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,,3,"$105,369.00",,"Oct 4, 2021",906.712187,,$116.21,Completed
A Metamask-style browser extension for Zcash,Zypher,Wallets,NA,1,"$30,100.00",, 11 May 2021,97.3858901,,$309.08,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,2,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,3,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,4,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,5,,,,,,,Cancelled
CoinPayments Integration,CoinPayments,Integration,NA,1,"$19,200.00",, 19 May 2021,75.8474572,,$253.14,Cancelled
CoinPayments Integration,CoinPayments,Integration,,2,"$57,600.00",, 12 Aug 2021,416.787465,,$138.20,Cancelled
CoinPayments Integration,CoinPayments,Integration,,3,$0.00,,,,,,Cancelled
CoinPayments Integration,CoinPayments,Integration,,4,$0.00,,,,,,Cancelled
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,NA,1,"$181,764.00",, 22 Jun 2021,,"$181,764",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,2,"$175,032.00",, 21 Dec 2021,,"$175,032",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,3,"$269,280.00",, 16 Sep 2022,,"$269,280",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,4,"$47,124.00",, 6 Dec 2022,,"$47,124",,Completed
Trezor support for Zcash shielded transactions,Trezor,Wallets,NA,1,"$10,400.00",, 28 Oct 2021,66.4707634,,$156.46,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,2,"$19,500.00",, 6 Dec 2021,113.570381,,$171.70,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,3,"$29,900.00",, 5 Jan 2023,748.81,,$39.93,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,4,,,,,,,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,5,,,,,,,Cancelled
Zcash Short Documentary,Zcash Media,Media,NA,1,"$4,160.28",, 9 Aug 2021,31.6323993,,$131.52,Completed
Zcash Short Documentary,Zcash Media,Media,,2,"$39,522.66",, 8 Oct 2021,314.495784,,$125.67,Completed
Zcash Short Documentary,Zcash Media,Media,,3,"$87,365.88",, 4 Feb 2022,828.505463,,$105.45,Completed
Zcash Short Documentary,Zcash Media,Media,,4,"$27,041.82",, 9 Feb 2022,212.375904,,$127.33,Completed
Zcash Short Documentary,Zcash Media,Media,,5,"$24,961.68",, 21 Feb 2022,248.301006,,$100.53,Completed
Zcash Short Documentary,Zcash Media,Media,,6,"$24,961.68",, 22 Apr 2022,158.075559,,$157.91,Completed
Shielded Dialogues,Foresight Institute,Media,Milestone,1,"$17,500.00",, 21 Oct 2022,333.779,,$52.43,Cancelled
Shielded Dialogues,Foresight Institute,Media,,2,"$17,500.00",, 6 Jul 2023,563.61,,$31.05,Cancelled
Shielded Dialogues,Foresight Institute,Media,,3,,,,,,,Cancelled
Shielded Dialogues,Foresight Institute,Media,,4,,,,,,,Cancelled
Payment Gateway with BTCPay,Hanh,Integration,NA,1,"$30,000.00",, 17 Jan 2022,221.64778,,$135.35,Completed
Payment Gateway with BTCPay,Hanh,Integration,,2,"$90,000.00",, 8 Feb 2022,720.980734,,$124.83,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,NA,1,"$10,228.80",, 9 Dec 2021,59.1946444,,$172.80,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,2,"$8,183.04",, 17 Feb 2022,67.8528363,,$120.60,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,3,"$8,183.04",, 7 Jun 2022,86.7768702,,$94.30,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,4,"$8,183.04",, 21 Oct 2022,156.076,,$52.43,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,5,"$8,183.04",, 4 Apr 2023,216.03,,$37.88,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,6,"$8,183.04",, 20 Oct 2023,322.93,,$25.34,Completed
Proposal to fund zcash skydives!,Tmek,Media,,1,"$3,300.00",, 12 Nov 2021,16.4753871,,$200.30,Completed
Zcash Thorchain Integration Grant,NightHawk,Integration,Quarterly,1,"$77,478.00",, 24 Nov 2021,305.272068,,$253.80,Cancelled
Zcash Thorchain Integration Grant,NightHawk,Integration,,2,"$77,478.00",, 23 Dec 2021,462.169033,,$167.64,Cancelled
Zcash Thorchain Integration Grant,NightHawk,Integration,,3,$0.00,,,,,,Cancelled
Zcash Thorchain Integration Grant,NightHawk,Integration,,4,$0.00,,,,,,Cancelled
Cake Technologies Zcash Mobile Wallet Design & Development,,,,1,,,,,,,Cancelled
Cake Technologies Zcash Mobile Wallet Design & Development,,,,2,,,,,,,Cancelled
Cake Technologies Zcash Mobile Wallet Design & Development,,,,3,,,,,,,Cancelled
Zcash Blockchain Infrastructure,zBI,Infrastructure,NA,1,"$20,000.00",, 11 Jan 2022,141.864294,,$140.98,Completed
Zcash Blockchain Infrastructure,zBI,Infrastructure,,2,"$20,000.00",, 2 May 2022,166.500367,,$120.12,Completed
Zcash Blockchain Infrastructure,zBI,Infrastructure,,3,,,,,,,Completed
Zcash Blockchain Infrastructure,zBI,Infrastructure,,4,,,,,,,Completed
"The Ceremony, Powers of Tau, and Halo Video",Zcash Media,Media,NA,1,"$35,256.00",, 28 Apr 2022,240.081816,,$146.85,Completed
Oblivious Message Retrieval,Columbia University,Research & Development,NA,Start up funding,"$8,820.00",, 6 Jan 2022,63.7836274,,$138.28,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,1,"$14,700.00",, 13 May 2022,152.426579,,$96.44,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,Funds Returned,"-$23,520.00",, 2 Sep 2022,-216.11,,$108.83,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,2-3,,,,,,,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,4,,,,,,,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,5,,,,,,,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,6,,,,,,,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,7,,,,,,,Cancelled
Oblivious Message Retrieval,Columbia University,Research & Development,,8,,,,,,,Cancelled
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,Monthly,1,"$141,570.00",, 18 Feb 2022,1285.83106,,$110.10,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,2,"$188,760.00",, 18 May 2022,1839.0493,,$102.64,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,3,"$235,950.00",, 24 Oct 2022,4515.789,,$52.25,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,4,"$94,380.00",, 8 Dec 2022,2100.13,,$44.94,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,5,"$141,570.00",, 1 Feb 2023,3133.466,,$45.18,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,6,"$94,380.00",, 5 Sep 2023,3844.4,,$24.55,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,7,"$56,628.00",, 24 Mar 2023,1561.29,,$36.27,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,8,"$102,245.00",, 12 Feb 2024,4975.43,,$20.55,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,9,"$62,920.00",, 16 Nov 2023,2086.21,,$30.16,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,10,"$31,460.00",, 19 Apr 2023,797.67,,$39.44,Completed
Shielded Assets (ZSA/UDA) for DeFi on Zcash,QEDIT,Zcash Protocol Extension,,11,"$37,752.00",, 19 Apr 2023,957.2,,$39.44,Completed
Zcash Media Launch Plan,Zcash Media,Media,NA,Start up funding,"$70,550.00",, 28 Mar 2022,351.344822,,$200.80,Completed
Zcash Media Launch Plan,Zcash Media,Media,,1,"$48,150.00",, 12 Apr 2022,325.734201,,$147.82,Completed
Zcash Media Launch Plan,Zcash Media,Media,,2,"$51,050.00",, 28 Apr 2022,347.63374,,$146.85,Completed
Zcash Media Launch Plan,Zcash Media,Media,,3,"$43,450.00",, 24 May 2022,472.128854,,$92.03,Completed
"Ziggurat 2.0: Pre-flight testing for the Zebra RC, CI support, a GUI, and more",Equilibrium,Infrastructure,NA,Start up funding,"$90,000.00",, 8 Apr 2022,588.1971499,,$153.01,Completed
"Ziggurat 2.0: Pre-flight testing for the Zebra RC, CI support, a GUI, and more",Equilibrium,Infrastructure,,1,"$94,000.00",, 16 Aug 2022,1241.7435,,$75.70,Completed
"Ziggurat 2.0: Pre-flight testing for the Zebra RC, CI support, a GUI, and more",Equilibrium,Infrastructure,,2,"$94,000.00",, 16 Aug 2022,1241.7435,,$75.70,Completed
"Ziggurat 2.0: Pre-flight testing for the Zebra RC, CI support, a GUI, and more",Equilibrium,Infrastructure,,3,"$94,000.00",, 11 Oct 2022,1788.09,,$52.57,Completed
Zcash Promotional Song & Music Video,Hanu Dixit,Media,NA,1,"$24,500.00",, 27 Apr 2022,166.859834,,$146.83,Completed
Zcash Promotional Song & Music Video,Hanu Dixit,Media,,2,"$10,000.00",, 9 May 2022,103.73464,,$96.40,Completed
Free2Z legal expenses reimbursement,Free2Z,Non-Wallet Applications,NA,Reimbursement,"$1,039.00",, 21 Jun 2022,15.0798258,,$68.90,Completed
Free2Z legal expenses reimbursement,Free2Z,Non-Wallet Applications,,Reimbursement,$998.00,, 2 Aug 2022,15.968,,$62.50,Completed
Free2Z legal expenses reimbursement,Free2Z,Non-Wallet Applications,,Reimbursement,"$10,000.00",, 9 Jan 2023,230.947,,$43.30,Completed
Free2Z,Free2Z,Non-Wallet Applications,NA,1,"$31,000.00",, 25 Jul 2022,546.737233,,$56.70,Completed
Free2Z,Free2Z,Non-Wallet Applications,,2,"$55,000.00",, 23 Aug 2022,836.12,,$65.78,Completed
Free2Z,Free2Z,Non-Wallet Applications,,3,"$37,000.00",, 5 Dec 2022,808.39,,$45.77,Completed
ElectrumZ,,,,1,,,,,,,Cancelled
Community Note Taker,Jason Rogers,Community,Milestone,1,$600.00,, 1 Jul 2022,11.2066745,,$53.54,Completed
Community Note Taker,Jason Rogers,Community,,2,$600.00,, 1 Aug 2022,9.25354719,,$64.84,Completed
Community Note Taker,Jason Rogers,Community,,3,$300.00,, 1 Sep 2022,5.19,,$57.80,Completed
Community Note Taker,Jason Rogers,Community,,4,$600.00,, 30 Sep 2022,10.623,,$56.48,Completed
Community Note Taker,Jason Rogers,Community,,5,$600.00,, 31 Oct 2022,11.426,,$52.51,Completed
Community Note Taker,Jason Rogers,Community,,6,$600.00,, 30 Nov 2022,13.73,,$43.70,Completed
Community Note Taker,Jason Rogers,Community,,7,$600.00,, 30 Dec 2022,15.835,,$37.89,Completed
Community Note Taker,Jason Rogers,Community,,8,$600.00,, 31 Jan 2023,13.204,,$45.44,Completed
Community Note Taker,Jason Rogers,Community,,9,$600.00,, 28 Feb 2023,13.55,,$44.28,Completed
Community Note Taker,Jason Rogers,Community,,10,$600.00,, 31 Mar 2023,15.46,,$38.81,Completed
Community Note Taker,Jason Rogers,Community,,11,$600.00,, 1 May 2023,16.34,,$36.72,Completed
Community Note Taker,Jason Rogers,Community,,12,$600.00,, 31 May 2023,18.66,,$32.15,Completed
Community Note Taker,Jason Rogers,Community,,13,$900.00,, 30 Jun 2023,28.74,,$31.32,Completed
Community Note Taker,Jason Rogers,Community,,14,$600.00,, 14 Aug 2023,20.3,,$29.56,Completed
Community Note Taker,Jason Rogers,Community,,15,$600.00,, 31 Aug 2023,23.69,,$25.33,Completed
Community Note Taker,Jason Rogers,Community,,16,$600.00,, 29 Sep 2023,22.55,,$26.61,Completed
Community Note Taker,Jason Rogers,Community,,17,$600.00,, 31 Oct 2023,21.53,,$27.87,Completed
Community Note Taker,Jason Rogers,Community,,18,$900.00,, 1 Dec 2023,30.37,,$29.63,Completed
Community Note Taker,Jason Rogers,Community,,19,$300.00,, 3 Jan 2024,11.92,,$25.17,Completed
Community Note Taker,Jason Rogers,Community,,20,$600.00,, 31 Jan 2024,27.65,,$21.70,Completed
Community Note Taker,Jason Rogers,Community,,21,$600.00,, 29 Feb 2024,20.83,,$28.80,Completed
Community Note Taker,Jason Rogers,Community,,22,$600.00,, 1 Apr 2024,21.08,,$28.46,Completed
Zecwallet and Orchard,ZecWallet,Wallets,NA,1,"$20,000.00",, 13 Jul 2022,379.93921,,$52.64,Completed
Zecwallet and Orchard,ZecWallet,Wallets,,2,"$47,200.00",, 18 Aug 2022,627.66,,$75.20,Completed
Zecwallet and Orchard,ZecWallet,Wallets,,3,"$47,200.00",, 2 Sep 2022,773.77,,$61.00,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,Milestone,Start up funding,"$8,600.00",, 30 Jun 2022,163.435966,,$52.62,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,1,"$17,600.00",, 16 Aug 2022,232.497,,$75.70,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,2,"$17,600.00",, 11 Oct 2022,334.79,,$52.57,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,3,"$17,600.00",, 16 Jan 2023,416.77,,$42.23,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,4,"$17,600.00",, 24 Mar 2023,478.65,,$36.77,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,5,"$17,600.00",, 28 Jun 2023,599.86,,$29.34,Completed
ZGo - The Zcash Register,Vergara Technologies ,Non-Wallet Applications,,6,"$17,600.00",, 31 Oct 2023,634.23,,$27.75,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,Monthly,1,"$17,000.00",, 5 Nov 2022,316.456,,$53.72,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,2,"$11,500.00",, 14 Dec 2022,245.31,,$46.88,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,3,"$10,000.00",, 19 Jan 2023,222.42,,$44.96,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,4,"$17,000.00",, 8 Feb 2023,372.48,,$45.64,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,5,"$17,000.00",, 10 Mar 2023,538.83,,$31.55,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,6,"$17,000.00",, 17 Apr 2023,409.64,,$41.50,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,7,"$17,000.00",, 9 May 2023,514.84,,$33.02,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,8,"$10,000.00",, 9 Jun 2023,342.94,,$29.16,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,9,"$8,000.00",, 25 Aug 2023,322.06,,$24.84,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,10,"$8,000.00",, 25 Aug 2023,322.06,,$24.84,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,11,"$9,000.00",, 12 Sep 2023,361.591,,$24.89,Completed
Zcash Ecosystem Security Lead,Taylor Hornby,Dedicated Resource,,12,"$17,000.00",, 27 Nov 2023,591.1,,$28.76,Completed
"Arti, a project to rewrite Tor in Rust: onion services and beyond!",Tor,Research & Development,Milestone,1,"$176,404.00",, 13 Mar 2024,5002.95,,$35.26,Completed
"Arti, a project to rewrite Tor in Rust: onion services and beyond!",Tor,Research & Development,,2,"$323,712.00",, 20 Feb 2025,8701.94,,$37.20,Completed
"Arti, a project to rewrite Tor in Rust: onion services and beyond!",Tor,Research & Development,,3,"$144,540.00",, 31 Jul 2024,4568.27,,$31.64,Completed
"Arti, a project to rewrite Tor in Rust: onion services and beyond!",Tor,Research & Development,,4,"$22,000.00",, 20 Feb 2025,591.4,,$37.20,Completed
Telegram Anti Scam Bot - Grant Request,JRGB,Community,NA,1,$700.00,, 30 May 2023,20.7,,$33.82,Completed
Implement Orchard Funded Amendment,Zingo Labs,Wallets,NA,1,"$64,260.00",, 17 Nov 2022,1594.145,,$40.31,Completed
Implement Orchard Funded Amendment,Zingo Labs,Wallets,,2,"$32,130.00",, 17 Nov 2022,797.073,,$40.31,Completed
Implement Orchard Funded Amendment,Zingo Labs,Wallets,,3,"$32,130.00",, 17 Nov 2022,797.073,,$40.31,Completed
YWallet,Hanh,Wallets,NA,1,"$300,000.00",, 28 Sep 2022,"5,417.12",,$55.38,Completed
YWallet,Hanh,Wallets,,2,"$50,000.00",, 20 Oct 2022,972.952,,$51.39,Completed
Zcash Node - RFP for portable device for running Zcashd nodes - by Stagnum,Stagnum,Non-Wallet Applications,Milestone,1,"$15,000.00",, 18 Nov 2022,385.604,,$38.90,Completed
Zcash Node - RFP for portable device for running Zcashd nodes - by Stagnum,Stagnum,Non-Wallet Applications,,2,"$15,000.00",, 11 Dec 2023,502.85,,$29.83,Completed
Zcash Node - RFP for portable device for running Zcashd nodes - by Stagnum,Stagnum,Non-Wallet Applications,,3,"$10,000.00",, 21 May 2024,410.85,,$24.34,Completed
ToDeFi: Torino Decentralized Finance Conference,ToDeFi,Event Sponsorship,NA,1,"$2,500.00",, 29 Nov 2022,62.6566,,$39.90,Completed
Orchard and UA for YWallet,Hanh,Wallets,NA,1,"$70,000.00",, 14 Feb 2023,1616.63,,$43.30,Completed
Orchard and UA for YWallet,Hanh,Wallets,,2,"$20,000.00",, 16 Feb 2023,454.96,,$43.96,Completed
Orchard and UA for YWallet,Hanh,Wallets,,3,"$24,400.00",, 27 Feb 2023,560.02,,$43.57,Completed
CryptoMondays DAO Partnership,,,,1,,,,,,,Cancelled
CryptoMondays DAO Partnership,,,,2,,,,,,,Cancelled
CryptoMondays DAO Partnership,,,,3,,,,,,,Cancelled
CryptoMondays DAO Partnership,,,,4,,,,,,,Cancelled
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,Milestone,1,$500.50,, 27 Feb 2023,11.49,,$43.56,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,2,$500.50,, 24 Mar 2023,13.85,,$36.14,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,3,$500.50,, 6 Jul 2023,16.12,,$31.05,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,4,$500.50,, 1 Sep 2023,19.96,,$25.08,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,5,$500.50,, 12 Sep 2023,19.97,,$25.06,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,6,$500.50,, 16 Oct 2023,19.63,,$25.50,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,7,$500.50,, 6 Nov 2023,17.08,,$29.30,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,8,$500.50,, 28 Nov 2023,17.06,,$29.34,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,9,$500.50,, 19 Jan 2024,22.21,,$22.53,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,10,$500.50,, 19 Jan 2024,22.21,,$22.53,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,11,$500.50,, 29 Jan 2024,21.92,,$22.83,Completed
The Zcash Podcast on the Digital Cash Network,Joel Valenzuela,Media,,12,$500.50,, 29 Jan 2024,21.92,,$22.83,Completed
Ziggurat 3.0 - Network Wide Testing and Active Validation,Equilibrium,Infrastructure,NA,Start Up funding,"$88,180.00",, 14 Dec 2022,1869.01,,$47.18,Completed
Ziggurat 3.0 - Network Wide Testing and Active Validation,Equilibrium,Infrastructure,,1,"$93,000.00",, 24 Mar 2023,2538.9,,$36.63,Completed
Ziggurat 3.0 - Network Wide Testing and Active Validation,Equilibrium,Infrastructure,,2,"$87,000.00",, 1 May 2023,2367.99,,$36.74,Completed
Ziggurat 3.0 - Network Wide Testing and Active Validation,Equilibrium,Infrastructure,,3,"$178,020.00",, 22 Jun 2023,6702.56,,$26.56,Completed
Zcash Brazil 2023,Zcash Brazil,Community,Monthly,1,"$3,434.00",, 31 Jan 2023,76.7,,$44.77,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,2,"$3,434.00",, 28 Feb 2023,77.552,,$44.28,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,3,"$3,434.00",, 4 Apr 2023,91.14,,$37.68,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,4,"$3,434.00",, 1 May 2023,94.47,,$36.35,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,5,"$3,434.00",, 31 May 2023,106.41,,$32.27,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,6,"$3,434.00",, 30 Jun 2023,106.85,,$32.14,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,7,"$3,434.00",, 14 Aug 2023,116.13,,$29.57,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,8,"$3,434.00",, 1 Sep 2023,138.97,,$24.71,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,9,"$3,434.00",, 2 Oct 2023,125.79,,$27.30,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,10,"$3,434.00",, 31 Oct 2023,122.25,,$28.09,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,11,"$3,434.00",, 11 Dec 2023,112.48,,$30.53,Completed
Zcash Brazil 2023,Zcash Brazil,Community,,12,"$3,434.00",, 2 Jan 2024,124.56,,$27.57,Completed
ZCash UniFFI Library,Equilibrium,Infrastructure,NA,1,"$18,000.00",, 1 Feb 2023,401.427,,$44.84,Completed
ZCash UniFFI Library,Equilibrium,Infrastructure,,2,"$36,000.00",, 13 Feb 2023,832.95,,$43.22,Completed
